x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
874.915,1942.89,1626.4,1770.355,397.394,1852.815,1576.519,1527.777,nan,nan,398.167,1258.864,1722.511,860.054,542.263,871.689,811.396,657.819,901.68,390.404,411.266,372.235,1663.405,320.348
875.073,1942.83,1626.693,1770.414,403.811,1856.92,1576.103,1527.095,nan,nan,403.046,1259.481,1723.071,859.586,541.965,872.607,812.031,657.282,901.92,390.356,413.169,372.976,1664.46,323.205
875.325,1942.641,1626.351,1768.54,408.165,1859.064,1576.236,1527.137,nan,nan,407.434,1261.085,1723.283,859.88,541.654,872.738,812.818,656.881,902.126,390.5,413.706,373.067,1664.805,324.952
875.069,1942.349,1626.074,1767.522,411.999,1862.138,1576.494,1527.204,nan,nan,410.916,1261.484,1723.286,860.252,541.649,873.186,814.355,656.23,902.609,390.633,414.518,373.345,1665.993,328.129
872.093,1934.505,1624.584,1767.782,414.566,1863.886,1577.792,1527.704,nan,nan,414.928,1262.39,1723.24,859.508,541.805,873.93,815.25,655.924,902.776,390.816,415.366,373.69,1667.011,330.913
871.127,1925.114,1623.741,1762.497,417.071,1865.002,1577.609,1527.901,nan,nan,417.275,1263.292,1723.276,858.792,541.802,874.48,815.449,655.844,902.95,390.942,415.105,373.612,1666.988,331.543
870.58,1920.966,1623.936,1761.55,419.202,1865.915,1577.036,1527.822,nan,nan,419.424,1263.642,1723.303,859.487,541.82,874.613,816.983,655.035,903.089,391.129,415.252,373.558,1667.131,332.869
870.028,1917.654,1624.288,1760.552,420.186,1865.89,1577.557,1528.137,nan,nan,422.174,1264.152,1723.477,859.081,543.96,875.208,817.363,655.164,903.167,391.408,415.156,373.58,1666.883,333.827
869.577,1914.763,1624.21,1759.494,421.26,1866.117,1577.173,1527.913,nan,nan,423.951,1264.57,1723.221,859.186,545.546,855.536,818.16,654.782,903.421,391.552,415.747,372.421,1667.349,335.188
868.989,1912.663,1623.39,1754.013,422.48,1866.832,1577.415,1528.062,nan,nan,424.092,1264.505,1723.32,860.455,550.546,851.411,819.555,653.996,903.684,391.953,424.761,373.554,1667.355,336.939
868.831,1910.862,1623.525,1753.761,423.209,1867.046,1578.451,1528.337,nan,nan,426.176,1265.305,1723.432,859.948,nan,nan,820.899,653.805,903.861,392.364,434.383,373.729,1667.82,338.49
868.109,1907.878,1623.498,1753.638,424.163,1867.243,1578.357,1528.411,nan,nan,428.132,1265.473,1723.519,858.055,nan,nan,820.782,654.006,903.896,392.282,439.961,374.562,1667.808,339.331
867.91,1907.283,1623.308,1753.926,425.059,1867.522,1577.722,1528.461,nan,nan,428.682,1265.644,1733.06,850.785,553.528,841.086,821.486,653.77,904.885,391.512,442.109,375.087,1674.075,339.345
867.433,1905.342,1623.236,1753.656,425.31,1867.327,1577.09,1528.497,nan,nan,429.904,1266.069,1738.098,840.104,552.383,839.989,825.427,649.969,911.852,396.751,444.37,375.117,1688.237,347.913
867.134,1904.209,1623.189,1753.843,426.209,1867.745,1577.824,1528.712,nan,nan,432,1266.329,1740.349,837.155,551.19,839.944,840.615,645.732,919.183,404.633,445.678,374.985,1694.954,352.604
867.293,1904.22,1623.337,1753.683,426.34,1867.767,1578.065,1528.786,nan,nan,431.759,1266.48,1741.783,834.833,550.519,839.798,858.586,635.239,921.316,408.275,446.044,375.229,1698.129,354.94
867.007,1903.436,1622.676,1753.632,429.208,1872.837,1575.937,1528.688,nan,nan,432.816,1266.681,1741.974,835.008,549.798,839.866,869.784,631.681,922.481,409.85,447.172,375.36,1701.478,357.896
866.864,1903.858,1624.393,1757.71,437.963,1881.558,1576.856,1529.168,nan,nan,433.847,1266.839,1742.542,834.05,548.208,838.286,885.672,627.521,923.295,411.033,447.966,375.242,1703.569,359.63
866.451,1902.914,1622.981,1754.385,439.822,1883.737,1576.972,1529.07,nan,nan,435.341,1267.364,1742.589,833.523,526.852,834.253,906.453,621.614,924.53,412.587,448.092,375.044,1704.958,360.464
